shift,intensity
1.000000000000000000e+03,-1.396546363024758763e-02
1.000500250125062507e+03,1.139283703851985685e-02
1.001000500250125015e+03,-2.291593566884450248e-02
1.001500750375187636e+03,1.098833617463289974e-02
1.002001000500250143e+03,1.011440138723527192e-02
1.002501250625312650e+03,-1.395908642390560755e-02
1.003001500750375158e+03,-7.978231917082930988e-03
1.003501750875437665e+03,-5.032852005500009634e-02
1.004002001000500286e+03,-1.312636733144734690e-02
1.004502251125562793e+03,1.514401629265888644e-02
1.005002501250625301e+03,-3.442889763773341466e-02
1.005502751375687808e+03,8.888520910480439755e-03
1.006003001500750429e+03,-1.597785287570920032e-02
1.006503251625812936e+03,6.997363607910485339e-03
1.007003501750875444e+03,3.574950572559356179e-03
1.007503751875937951e+03,-3.437766784850027502e-03
1.008004002001000458e+03,1.708393057529920822e-02
1.008504252126063079e+03,2.540941194794073960e-02
1.009004502251125587e+03,1.291850468492647570e-02
1.009504752376188094e+03,-3.370331716897915358e-02
1.010005002501250601e+03,-1.427598960656372221e-02
1.010505252626313109e+03,-7.807007814884556023e-03
1.011005502751375730e+03,1.872695960006328861e-02
1.011505752876438237e+03,2.473238385087652910e-02
1.012006003001500744e+03,2.317810859957276839e-03
1.012506253126563251e+03,2.801215621057697152e-03
1.013006503251625759e+03,-3.792105484486268420e-03
1.013506753376688380e+03,1.160518416616234880e-02
1.014007003501750887e+03,9.730222426059984345e-03
1.014507253626813394e+03,5.133374199991725013e-03
1.015007503751875902e+03,-5.074156043837798648e-03
1.015507753876938523e+03,-1.096835815164116240e-02
1.016008004002001030e+03,-9.925875595953503931e-06
1.016508254127063537e+03,2.791133573471632923e-03
1.017008504252126045e+03,-3.745885000134317744e-02
1.017508754377188552e+03,9.114918561836621996e-03
1.018009004502251173e+03,-1.678466124713802118e-02
1.018509254627313680e+03,4.945995137241265827e-02
1.019009504752376188e+03,-1.026350192685531945e-02
1.019509754877438695e+03,2.053411797707399913e-02
1.020010005002501202e+03,-1.719748035897799773e-02
1.020510255127563823e+03,-1.353189258820929573e-02
1.021010505252626331e+03,-1.007975780940053960e-02
1.021510755377688838e+03,1.608157191969350128e-02
1.022011005502751345e+03,-3.184017748963611366e-02
1.022511255627813853e+03,2.414231016091150997e-02
1.023011505752876474e+03,1.844349478969824901e-02
1.023511755877938981e+03,2.009333375654268408e-02
1.024012006003001488e+03,-4.706740566829096389e-02
1.024512256128064109e+03,7.921317091938846061e-03
1.025012506253126503e+03,1.861821778340703309e-02
1.025512756378189124e+03,2.543340972777465361e-02
1.026013006503251518e+03,2.224844695214289042e-02
1.026513256628314139e+03,1.876950429015114899e-02
1.027013506753376760e+03,-2.045223627692458954e-02
1.027513756878439153e+03,3.096985919073144862e-03
1.028014007003501774e+03,1.403142438108359244e-02
1.028514257128564395e+03,-1.737644358289915439e-02
1.029014507253626789e+03,-3.080325598444472179e-02
1.029514757378689410e+03,-1.008328116355528686e-02
1.030015007503751804e+03,-1.043242578347507860e-02
1.030515257628814425e+03,-1.713381858863788007e-02
1.031015507753877046e+03,3.470797224478042869e-02
1.031515757878939439e+03,1.635168013837294196e-02
1.032016008004002060e+03,2.175807814379717917e-02
1.032516258129064454e+03,5.153334203566176802e-02
1.033016508254127075e+03,2.821918588521925633e-02
1.033516758379189696e+03,2.457919975288492057e-02
1.034017008504252090e+03,-3.534462171851543433e-02
1.034517258629314711e+03,1.599848124706592170e-02
1.035017508754377104e+03,-2.268549167571417419e-02
1.035517758879439725e+03,-1.099000572090454327e-02
1.036018009004502346e+03,4.504214195656594533e-02
1.036518259129564740e+03,-1.082239034196250983e-02
1.037018509254627361e+03,-2.044462197935096107e-02
1.037518759379689754e+03,-1.258208843687208187e-02
1.038019009504752376e+03,1.658849297879388257e-02
1.038519259629814997e+03,2.479209856161576631e-02
1.039019509754877390e+03,-2.085917179185198603e-02
1.039519759879940011e+03,-1.490519868809445222e-03
1.040020010005002405e+03,1.140631956142154797e-02
1.040520260130065026e+03,-1.682370579418201659e-02
1.041020510255127647e+03,3.169889676436283242e-03
1.041520760380190040e+03,4.838304270080991294e-03
1.042021010505252661e+03,-1.133987950076303583e-02
1.042521260630315055e+03,2.264867355891836756e-02
1.043021510755377676e+03,3.830671329022625193e-02
1.043521760880440297e+03,1.062019322424513504e-03
1.044022011005502691e+03,2.655887384675973545e-02
1.044522261130565312e+03,-1.778726683680609613e-02
1.045022511255627705e+03,1.353556570468994642e-02
1.045522761380690326e+03,-2.387914911562915785e-02
1.046023011505752947e+03,3.403024190979470759e-02
